time,NH4_hlx,NH4_djy,WT_djy,NH4_ejs,WT_ejs,WT_hlx,Q_ZPP,H_wj,Q_wj
2020/1/1 0:00,1.64,0.065,10.36,0.77,13.06,13,3484800,487.08,401760
2020/1/1 4:00,0.12,0.063,10.16,0.82,12.94,13.1,3484800,487.078,402480
2020/1/1 8:00,0.98,0.066,10.3,1.07,12.78,12.7,3484800,487.077,403200
2020/1/1 12:00,0.8,0.066,10.53,0.72,12.87,13,3484800,487.075,403920
2020/1/1 16:00,0.97,0.063,10.79,0.88,13.84,13.1,3484800,487.073,404640
2020/1/1 20:00,0.88,0.068,10.5,0.87,13.06,12.9,3484800,487.072,405360
2020/1/2 0:00,2.2,0.064,10.45,0.87,12.55,12.9,4176000,487.07,406080
2020/1/2 4:00,0.06,0.061,10.27,0.87,12.42,12.7,4176000,487.063,402955.2
2020/1/2 8:00,0.15,0.065,10.32,0.86,11.63,12.6,4176000,487.057,399844.8
2020/1/2 12:00,0.82,0.062,11.15,0.54,11.06,12.7,4176000,487.05,396720
2020/1/2 16:00,0.92,0.061,10.83,0.4,11.05,12.9,4176000,487.043,393595.2
2020/1/2 20:00,0.95,0.066,10.42,0.41,10.82,12.9,4176000,487.037,390484.8
2020/1/3 0:00,0.85,0.062,10.28,0.35,10.63,12.6,3657600,487.03,387360
2020/1/3 4:00,0.94,0.062,10.12,0.52,10.83,12.3,3657600,487.012,385675.2
2020/1/3 8:00,0.91,0.072,10.06,0.5,10.8,12.1,3657600,486.993,384004.8
2020/1/3 12:00,0.82,0.065,13.91,0.67,11.57,12.2,3657600,486.975,382320
2020/1/3 16:00,0.68,0.068,13.38,0.54,11.58,12.5,3657600,486.957,380635.2
2020/1/3 20:00,0.69,0.062,10.49,0.57,11.77,12.4,3657600,486.938,378964.8
2020/1/4 0:00,0.7,0.062,10.2,0.42,11.32,11.9,3715200,486.92,377280
2020/1/4 4:00,0.82,0.056,10.35,0.63,11.44,11.7,3715200,486.902,378244.8
2020/1/4 8:00,0.89,0.069,10.38,1.09,11.47,11.8,3715200,486.883,379195.2
2020/1/4 12:00,0.87,0.06,11.34,1.22,11.9,12.5,3715200,486.865,380160
2020/1/4 16:00,0.86,0.064,10.97,0.92,12.16,12.8,3715200,486.847,381124.8
2020/1/4 20:00,0.82,0.063,10.41,0.68,12.44,12.7,3715200,486.828,382075.2
2020/1/5 0:00,0.72,0.063,10.33,0.71,11.71,12.5,4795200,486.81,383040
2020/1/5 4:00,0.94,0.062,10.17,0.84,11.76,12.3,4795200,486.803,382564.8
2020/1/5 8:00,0.96,0.069,10.29,1.15,11.69,12.9,4795200,486.797,382075.2
2020/1/5 12:00,0.98,0.064,10.6,0.78,11.56,12.5,4795200,486.79,381600
2020/1/5 16:00,0.99,0.063,10.78,0.73,11.8,12.6,4795200,486.783,381124.8
2020/1/5 20:00,0.99,0.068,10.4,0.67,11.81,12.6,4795200,486.777,380635.2
2020/1/6 0:00,0.98,0.064,10.44,0.88,11.72,12.4,3124800,486.77,380160
2020/1/6 4:00,0.96,0.064,10.44,1.27,11.89,12.1,3124800,486.757,377524.8
2020/1/6 8:00,1.05,0.067,10.35,0.88,11.27,11.9,3124800,486.743,374875.2
2020/1/6 12:00,0.826323509,0.067,10.71,0.7,11.52,12.1,3124800,486.73,372240
2020/1/6 16:00,0.65,0.064,10.72,0.66,11.65,12.3,3124800,486.717,369604.8
2020/1/6 20:00,0.58,0.064,10.3,0.69,11.64,12.2,3124800,486.703,366955.2
2020/1/7 0:00,0.88,0.068,9.6,0.84,11.42,11.9,4075200,486.69,364320
2020/1/7 4:00,1.1,0.067,9.37,1,10.92,11.5,4075200,486.683,362404.8
2020/1/7 8:00,1.17,0.072,9.16,1.2,10.68,11.2,4075200,486.677,360475.2
2020/1/7 12:00,0.16,0.067,13.46,0.98,11.29,11.6,4075200,486.67,358560
2020/1/7 16:00,0.1,0.062,12.04,0.65,11.78,12.4,4075200,486.663,356644.8
2020/1/7 20:00,0.07,0.063,10.54,0.69,12.06,12.3,4075200,486.657,354715.2
2020/1/8 0:00,0.84,0.062,10.24,1.01,11.6,11.8,3240000,486.65,352800
2020/1/8 4:00,0.66,0.06,9.92,1.03,11.26,11.5,3240000,486.658,352080
2020/1/8 8:00,0.7,0.071,10.02,0.84,11.06,11.6,3240000,486.667,351360
2020/1/8 12:00,0.91,0.067,11.32,0.59,11,12.2,3240000,486.675,350640
2020/1/8 16:00,0.72,0.064,11.33,0.61,11.47,12.7,3240000,486.683,349920
2020/1/8 20:00,0.79,0.058,10.29,0.5,11.66,12.5,3240000,486.692,349200
2020/1/9 0:00,0.86,0.059,10.06,0.76,11.6,12,3585600,486.7,348480
2020/1/9 4:00,0.98,0.058,10,0.81,11.65,12.7,3585600,486.7,346075.2
2020/1/9 8:00,0.99,0.063,9.88,1.77,11.6,12,3585600,486.7,343684.8
2020/1/9 12:00,0.93,0.06,10.24,0.78,11.63,12.1,3585600,486.7,341280
2020/1/9 16:00,0.54,0.059,10.27,0.74,11.87,12.2,3585600,486.7,338875.2
2020/1/9 20:00,2.1,0.061,9.84,0.62,11.72,12.2,3585600,486.7,336484.8
2020/1/10 0:00,0.88,0.06,9.61,0.85,11.57,12,3211200,486.7,334080
2020/1/10 4:00,0.93,0.061,9.54,1.09,11.33,11.9,3211200,486.692,331200
2020/1/10 8:00,1.01,0.065,9.5,0.9,11.13,11.8,3211200,486.683,328320
2020/1/10 12:00,2.18,0.06,10.3,1.23,11.5,11.9,3211200,486.675,325440
2020/1/10 16:00,0.55,0.061,10.62,0.51,11.21,12.1,3211200,486.667,322560
2020/1/10 20:00,0.64,0.061,9.86,0.69,11.44,12,3211200,486.658,319680
2020/1/11 0:00,0.75,0.062,9.66,0.75,11.17,11.8,2966400,486.65,316800
