Unnamed: 0,pH(无量纲),溶解氧(mg/L),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2019/1/1 0:00,7.53,9.26,1.92,1.82,0.225,5.21
2019/1/1 4:00,7.54,9.35,2.06,1.78,0.22,5.6
2019/1/1 8:00,7.55,9.39,2.76,1.59,0.239,5.24
2019/1/1 12:00,7.57,9.84,2.52,1.38,0.208,4.89
2019/1/1 16:00,7.55,9.51,1.87,1.61,0.218,5.56
2019/1/1 20:00,7.55,9.28,1.71,1.8,0.232,5.38
2019/1/2 0:00,7.53,9.15,2.47,1.61,0.217,4.91
2019/1/2 4:00,7.53,9.17,2.36,1.5,0.203,4.66
2019/1/2 8:00,7.54,9.14,2.95,1.2,0.214,4.41
2019/1/2 12:00,7.55,9.39,2.9,1.05,0.194,4.54
2019/1/2 16:00,7.55,9.38,2.22,1.24,0.2,4.7
2019/1/2 20:00,7.54,9.24,2.21,1.44,0.214,5.06
2019/1/3 0:00,7.54,9.14,2.13,1.67,0.23,5.31
2019/1/3 4:00,7.54,9.21,2.17,1.78,0.226,5.38
2019/1/3 8:00,7.54,9.1,2.65,1.72,0.236,5.06
2019/1/3 12:00,7.56,9.21,2.71,1.51,0.226,5.03
2019/1/3 16:00,7.57,9.42,2.31,1.53,0.214,5.37
2019/1/3 20:00,7.55,9.07,2.32,1.89,0.242,5.6
2019/1/4 0:00,7.54,8.79,2.55,2.28,0.25,6.08
2019/1/4 4:00,7.54,9.11,2.33,2.02,0.242,5.78
2019/1/4 8:00,7.56,9.22,2.96,0.0,0.262,5.56
2019/1/4 12:00,7.44,9.36,3.1,1.4,0.246,5.23
2019/1/4 16:00,7.46,9.41,2.48,1.57,0.228,5.37
2019/1/4 20:00,7.44,9.2,2.43,1.8,0.244,5.47
2019/1/5 0:00,7.45,9.33,2.3,1.84,0.237,5.38
2019/1/5 4:00,7.44,9.1,2.24,1.76,0.232,5.12
