站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黄龙溪,府河,2020-05-21 12,5.50,0.280,0.154,135.5,6.58,7.62,--,III,Ⅴ,-,2020-05-21 15:05:02
黄龙溪,府河,2020-05-21 16,5.80,0.320,0.150,119.3,6.47,7.58,--,III,Ⅴ,-,2020-05-21 19:05:02
黄龙溪,府河,2020-05-21 20,5.60,0.380,0.151,119.9,6.35,7.55,--,III,Ⅴ,-,2020-05-21 23:05:02
黄龙溪,府河,2020-05-22 00,5.50,0.420,0.147,100.1,6.15,7.52,--,III,Ⅴ,-,2020-05-22 03:05:02
黄龙溪,府河,2020-05-22 04,5.20,0.380,0.141,87.6,6.43,7.51,--,III,Ⅴ,-,2020-05-22 07:05:02
黄龙溪,府河,2020-05-22 08,5.00,0.440,0.151,91.2,6.28,7.49,--,III,Ⅴ,-,2020-05-22 11:05:03
黄龙溪,府河,2020-05-22 12,6.10,0.480,0.161,170.3,6.20,7.48,--,IV,Ⅴ,高锰酸盐指数,2020-05-22 15:05:02
黄龙溪,府河,2020-05-22 16,5.30,0.480,0.165,106.8,6.12,7.45,--,III,Ⅴ,-,2020-05-22 19:05:02
黄龙溪,府河,2020-05-22 20,5.30,0.350,0.152,103.8,6.20,7.47,--,III,Ⅴ,-,2020-05-22 23:05:02
黄龙溪,府河,2020-05-23 00,5.20,0.340,0.131,83.9,6.02,7.47,--,III,Ⅴ,-,2020-05-23 03:05:02
黄龙溪,府河,2020-05-23 04,4.90,0.270,0.144,73.5,6.31,7.48,--,III,Ⅴ,-,2020-05-23 07:05:01
黄龙溪,府河,2020-05-23 08,4.70,0.250,0.142,76.9,6.39,7.49,--,III,Ⅴ,-,2020-05-23 11:05:03
黄龙溪,府河,2020-05-23 12,5.00,0.240,0.157,144.0,6.51,7.51,--,III,Ⅴ,-,2020-05-23 15:05:03
黄龙溪,府河,2020-05-23 16,4.80,0.260,0.164,106.2,6.29,7.49,--,III,Ⅴ,-,2020-05-23 19:05:02
黄龙溪,府河,2020-05-23 20,4.80,0.240,0.147,89.7,6.69,7.49,--,III,Ⅴ,-,2020-05-23 23:05:02
黄龙溪,府河,2020-05-24 00,4.50,0.260,0.148,81.2,5.99,7.49,--,III,Ⅴ,-,2020-05-24 03:05:02
黄龙溪,府河,2020-05-24 04,4.90,0.250,0.139,74.2,6.25,7.53,--,III,Ⅴ,-,2020-05-24 07:05:02
黄龙溪,府河,2020-05-24 08,4.30,0.200,0.148,77.5,6.35,7.55,--,III,Ⅴ,-,2020-05-24 11:05:02
黄龙溪,府河,2020-05-24 12,5.20,0.330,0.171,111.4,6.48,7.53,--,III,Ⅴ,-,2020-05-24 15:05:02
黄龙溪,府河,2020-05-24 16,5.80,0.410,0.164,91.6,6.63,7.47,--,III,Ⅴ,-,2020-05-24 19:05:02
黄龙溪,府河,2020-05-24 20,6.00,0.470,0.162,88.2,6.55,7.47,--,III,Ⅴ,-,2020-05-24 23:05:02
黄龙溪,府河,2020-05-25 00,5.70,0.550,0.156,95.8,6.59,7.43,--,III,Ⅴ,-,2020-05-25 03:05:02
黄龙溪,府河,2020-05-25 04,5.80,0.600,0.172,110.8,6.53,7.43,--,III,Ⅴ,-,2020-05-25 07:05:02
黄龙溪,府河,2020-05-25 08,6.10,0.550,0.169,112.9,6.78,7.42,--,IV,Ⅴ,高锰酸盐指数,2020-05-25 11:05:02
