time,pH_djy,DO_djy,DD_djy,TSS_djy,CODMn_djy,NH4_djy,TP_djy,TN_djy,WT_djy,pH_ejs,DO_ejs,DD_ejs,TSS_ejs,CODMn_ejs,NH4_ejs,TP_ejs,TN_ejs,WT_ejs,pH_hlx,DO_hlx,DD_hlx,TSS_hlx,CODMn_hlx,NH4_hlx,TP_hlx,TN_hlx,WT_hlx,Q_ZPP,H_ps,Q_ps_dealt,Q_ps,P_ps,H_wj,Q_wj,P_wj
2020-01-01 00:00:00,7.9,9.908,282.7,10.8,1.09,0.065,0.008,0.39,10.36,7.9,9.091000000000001,628.0,32.6,4.19,0.77,0.25,3.61,13.06,7.43,7.6,541.2,31.7,2.08,1.64,0.175,5.49,13.0,3484800,418.23,3283200.0,228.0,0.0,487.08,401760.0,0.0
2020-01-01 04:00:00,7.91,9.976,319.4,10.9,1.05,0.063,0.006999999999999999,0.43,10.16,7.86,8.954,643.9,30.1,4.38,0.82,0.25,4.49,12.94,7.4,7.65,539.3,31.4,1.87,0.12,0.172,5.15,13.1,3484800,418.233,3300004.8,229.167,0.0,487.07800000000003,402480.0,0.0
2020-01-01 08:00:00,7.91,10.264000000000001,303.3,13.6,1.2,0.066,0.009000000000000001,0.43,10.3,7.86,8.852,643.2,45.2,4.42,1.07,0.256,4.538891792,12.78,7.41,7.9,535.7,32.7,2.05,0.98,0.174,5.28,12.7,3484800,418.23699999999997,3316795.2,230.333,0.0,487.077,403200.0,0.0
2020-01-01 12:00:00,7.94,10.218,307.2,13.3,1.16,0.066,0.009000000000000001,0.52,10.53,7.89,9.32,644.3,45.9,4.05,0.72,0.20199999999999999,4.49,12.87,7.39,8.1,527.7,142.5,2.28,0.8,0.185,5.33,13.0,3484800,418.24,3333600.0,231.5,0.0,487.075,403920.0,0.0
2020-01-01 16:00:00,7.94,10.189,302.4,11.4,1.04,0.063,0.006999999999999999,0.42,10.79,7.92,9.373,639.5,48.0,4.12,0.88,0.17800000000000002,4.35,13.84,7.44,8.13,528.1,101.3,7.63,0.97,0.175,5.42,13.1,3484800,418.24300000000005,3350404.8,232.667,0.0,487.07300000000004,404640.0,0.0
2020-01-01 20:00:00,7.9,9.915,273.7,11.9,1.0,0.068,0.008,0.45,10.5,7.9,9.107000000000001,639.6,32.1,4.44,0.87,0.187,4.18,13.06,7.43,8.23,535.0,40.9,7.63,0.88,0.14800000000000002,5.03,12.9,3484800,418.24699999999996,3367195.2,233.833,0.0,487.07199999999995,405360.0,0.0
2020-01-02 00:00:00,7.9,9.979,306.8,11.8,0.93,0.064,0.008,0.47,10.45,7.92,9.182,603.2,48.1,3.92,0.87,0.196,3.16,12.55,7.4,8.06,535.6,34.8,1.62,2.2,0.152,5.26,12.9,4176000,418.25,3384000.0,235.0,0.0,487.07,406080.0,0.0
2020-01-02 04:00:00,7.9,9.958,282.5,10.5,0.94,0.061,0.006999999999999999,0.5,10.27,7.89,9.103,612.4,65.7,4.22,0.87,0.25,4.14,12.42,7.37,8.05,529.8,37.2,8.15,0.06,0.147,4.96,12.7,4176000,418.26300000000003,3463200.0,240.5,0.0,487.06300000000005,402955.2,0.0
2020-01-02 08:00:00,7.91,10.145,300.7,10.0,1.15,0.065,0.008,0.51,10.32,7.95,8.215,531.3,137.5,4.97,0.86,0.243,3.31,11.63,7.35,8.15,529.5,39.1,2.86,0.15,0.153,4.95,12.6,4176000,418.277,3542400.0,246.0,0.0,487.05699999999996,399844.8,0.0
2020-01-02 12:00:00,7.95,10.225,303.5,10.8,0.99,0.062,0.006999999999999999,0.48,11.15,7.91,9.183,471.0,209.2,4.93,0.54,0.23,2.27,11.06,7.36,8.23,513.2,44.9,2.82,0.82,0.153,4.67,12.7,4176000,418.29,3621600.0,251.5,0.0,487.05,396720.0,0.0
