站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黎明村(阿坝出境),岷江,2020-05-21 12,2.50,0.070,--,27.1,8.82,8.02,--,II,Ⅲ,-,2020-05-21 15:05:02
黎明村(阿坝出境),岷江,2020-05-21 16,2.60,0.090,--,31.3,8.71,8.00,--,II,Ⅲ,-,2020-05-21 19:05:02
黎明村(阿坝出境),岷江,2020-05-21 20,2.40,0.070,--,25.9,8.85,7.97,--,II,Ⅲ,-,2020-05-21 23:05:02
黎明村(阿坝出境),岷江,2020-05-22 00,2.60,0.100,--,31.1,8.78,7.99,--,II,Ⅲ,-,2020-05-22 03:05:02
黎明村(阿坝出境),岷江,2020-05-22 00,2.60,0.100,--,31.1,8.78,7.99,--,II,Ⅲ,-,2020-05-22 07:05:02
黎明村(阿坝出境),岷江,2020-05-22 08,2.30,0.120,--,32.3,8.71,7.98,--,II,Ⅲ,-,2020-05-22 11:05:03
黎明村(阿坝出境),岷江,2020-05-22 08,2.30,0.120,--,32.3,8.71,7.98,--,II,Ⅲ,-,2020-05-22 15:05:02
黎明村(阿坝出境),岷江,2020-05-22 16,2.60,0.130,--,28.1,8.65,8.03,--,II,Ⅲ,-,2020-05-22 19:05:02
黎明村(阿坝出境),岷江,2020-05-22 20,2.40,0.110,--,27.9,8.92,7.98,--,II,Ⅲ,-,2020-05-22 23:05:02
黎明村(阿坝出境),岷江,2020-05-23 00,2.20,0.070,--,33.3,8.79,7.96,--,II,Ⅲ,-,2020-05-23 03:05:02
黎明村(阿坝出境),岷江,2020-05-23 00,2.20,0.070,--,33.3,8.79,7.96,--,II,Ⅲ,-,2020-05-23 07:05:01
黎明村(阿坝出境),岷江,2020-05-23 08,2.50,0.080,--,28.4,8.78,7.99,--,II,Ⅲ,-,2020-05-23 11:05:03
黎明村(阿坝出境),岷江,2020-05-23 12,2.20,0.070,--,28.2,8.67,8.01,--,II,Ⅲ,-,2020-05-23 15:05:03
