站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
彭山岷江大桥,岷江,2020-05-21 12,2.00,0.078,0.102,79.7,7.34,7.61,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-21 15:05:02
彭山岷江大桥,岷江,2020-05-21 16,2.00,0.089,0.097,157.6,7.33,7.57,--,II,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-21 19:05:02
彭山岷江大桥,岷江,2020-05-21 20,2.20,0.126,0.099,139.0,7.27,7.53,--,II,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-21 23:05:02
彭山岷江大桥,岷江,2020-05-22 00,2.30,0.145,0.099,117.9,7.10,7.59,--,II,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-22 03:05:02
彭山岷江大桥,岷江,2020-05-22 04,2.30,0.169,0.102,90.9,6.93,7.48,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-22 07:05:02
彭山岷江大桥,岷江,2020-05-22 08,2.50,0.159,0.103,74.5,6.94,7.48,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-22 11:05:03
彭山岷江大桥,岷江,2020-05-22 12,2.30,0.158,0.105,78.9,7.06,7.49,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-22 15:05:02
彭山岷江大桥,岷江,2020-05-22 16,2.40,NA,0.105,112.9,6.91,7.47,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-22 19:05:02
彭山岷江大桥,岷江,2020-05-22 20,2.30,NA,0.110,83.9,6.70,7.46,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-22 23:05:02
彭山岷江大桥,岷江,2020-05-23 00,2.50,NA,0.111,74.2,6.80,7.44,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-23 03:05:02
彭山岷江大桥,岷江,2020-05-23 04,2.40,NA,0.109,64.1,6.77,7.42,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-23 07:05:01
彭山岷江大桥,岷江,2020-05-23 08,2.50,NA,0.109,62.9,6.90,7.45,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-23 11:05:03
彭山岷江大桥,岷江,2020-05-23 12,NA,NA,0.110,63.9,7.11,7.55,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-23 15:05:03
彭山岷江大桥,岷江,2020-05-23 16,2.20,0.061,0.109,95.3,7.23,7.56,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-23 19:05:03
彭山岷江大桥,岷江,2020-05-23 20,2.20,0.062,0.107,95.0,7.04,7.60,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-23 23:05:02
彭山岷江大桥,岷江,2020-05-24 00,2.20,0.065,0.110,80.1,6.94,7.58,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-24 03:05:02
彭山岷江大桥,岷江,2020-05-24 04,2.30,0.063,0.109,70.6,6.94,7.57,--,III,总磷≤0.33mg/L，其他指标为Ⅳ类,-,2020-05-24 07:05:02
