站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
岳店子下,岷江,2020-05-21 12,1.70,0.124,0.067,113.7,7.27,7.86,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-21 15:05:02
岳店子下,岷江,2020-05-21 16,NA,NA,NA,101.4,7.43,7.90,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-21 19:05:02
岳店子下,岷江,2020-05-21 20,1.60,0.126,0.063,86.3,7.38,7.90,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-21 23:05:02
岳店子下,岷江,2020-05-22 00,1.60,0.106,0.059,78.1,7.28,7.88,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-22 03:05:02
岳店子下,岷江,2020-05-22 04,1.50,0.119,0.064,86.5,7.17,7.84,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-22 07:05:02
岳店子下,岷江,2020-05-22 08,1.70,0.105,0.062,82.4,7.14,7.82,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-22 11:05:03
岳店子下,岷江,2020-05-22 12,1.50,0.096,0.064,56.6,7.47,7.87,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-22 15:05:02
岳店子下,岷江,2020-05-22 16,1.60,0.074,0.069,40.4,8.01,8.00,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-22 19:05:02
岳店子下,岷江,2020-05-22 20,1.60,0.057,0.070,32.2,7.31,7.90,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-22 23:05:02
岳店子下,岷江,2020-05-23 00,NA,NA,NA,27.4,6.77,7.80,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-23 03:05:02
岳店子下,岷江,2020-05-23 04,1.70,0.051,0.067,23.5,6.53,7.74,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-23 07:05:01
岳店子下,岷江,2020-05-23 08,1.80,0.058,0.069,34.4,6.66,7.73,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-23 11:05:03
岳店子下,岷江,2020-05-23 12,1.70,0.050,0.071,39.7,8.61,8.05,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-23 15:05:03
岳店子下,岷江,2020-05-23 16,1.50,0.047,0.069,59.5,8.63,8.10,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-23 19:05:02
岳店子下,岷江,2020-05-23 20,1.50,0.042,0.066,32.1,7.54,7.99,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-23 23:05:02
岳店子下,岷江,2020-05-24 00,1.60,0.040,0.064,24.3,6.73,7.84,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-24 03:05:02
岳店子下,岷江,2020-05-24 04,1.80,0.072,0.074,46.4,6.34,7.74,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-24 07:05:02
岳店子下,岷江,2020-05-24 08,2.00,0.094,0.076,57.5,6.36,7.75,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-24 11:05:02
岳店子下,岷江,2020-05-24 12,1.90,0.120,0.086,69.4,6.51,7.77,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-24 15:05:02
岳店子下,岷江,2020-05-24 16,2.40,0.179,0.108,76.4,6.40,7.71,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-24 19:05:03
岳店子下,岷江,2020-05-24 20,2.30,0.171,0.106,76.4,6.53,7.71,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-24 23:05:02
岳店子下,岷江,2020-05-25 00,2.80,0.240,0.136,62.6,6.29,7.64,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-25 03:05:02
岳店子下,岷江,2020-05-25 04,3.10,0.314,0.162,60.9,6.03,7.59,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-25 07:05:02
岳店子下,岷江,2020-05-25 08,4.00,0.474,0.212,73.3,5.89,7.53,--,IV,总磷≤0.22mg/L，其他指标为Ⅲ类,总磷,2020-05-25 11:05:02
岳店子下,岷江,2020-05-25 12,3.70,0.526,0.207,56.0,6.11,7.55,--,IV,总磷≤0.22mg/L，其他指标为Ⅲ类,总磷,2020-05-25 15:05:03
岳店子下,岷江,2020-05-25 16,3.80,0.537,0.219,46.1,6.26,7.57,--,IV,总磷≤0.22mg/L，其他指标为Ⅲ类,总磷,2020-05-25 19:05:03
岳店子下,岷江,2020-05-25 20,3.50,0.475,0.195,38.5,5.83,7.53,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-25 23:05:02
岳店子下,岷江,2020-05-26 00,3.50,0.470,0.188,28.8,5.60,7.51,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-26 03:05:03
岳店子下,岷江,2020-05-26 04,3.40,0.475,0.181,27.9,5.51,7.50,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-26 07:05:02
岳店子下,岷江,2020-05-26 08,3.30,0.413,0.166,33.7,5.71,7.51,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-26 11:05:02
岳店子下,岷江,2020-05-26 12,1.40,0.327,0.160,36.9,6.54,7.58,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-26 15:05:02
岳店子下,岷江,2020-05-26 16,3.30,0.425,0.165,28.3,6.46,7.58,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-26 19:05:03
岳店子下,岷江,2020-05-26 20,3.20,0.428,0.162,22.4,5.88,7.54,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-26 23:05:02
岳店子下,岷江,2020-05-27 00,3.10,NA,NA,21.4,5.58,7.51,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-27 03:05:03
岳店子下,岷江,2020-05-27 04,NA,0.340,0.143,25.3,5.52,7.51,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-27 07:05:02
岳店子下,岷江,2020-05-27 08,NA,0.348,0.145,24.2,5.44,7.50,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-27 11:05:02
岳店子下,岷江,2020-05-27 12,NA,0.287,0.139,21.5,6.80,7.62,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-27 15:05:03
岳店子下,岷江,2020-05-27 16,NA,NA,NA,21.0,7.93,7.78,--,I,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-27 19:05:03
岳店子下,岷江,2020-05-27 20,NA,NA,NA,26.0,6.20,7.60,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-27 23:05:02
岳店子下,岷江,2020-05-28 00,NA,NA,NA,15.8,5.40,7.52,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-28 03:05:03
岳店子下,岷江,2020-05-28 04,NA,NA,NA,16.3,5.20,7.51,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-28 07:05:02
岳店子下,岷江,2020-05-28 08,NA,NA,NA,18.0,5.92,7.55,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-28 11:05:02
岳店子下,岷江,2020-05-28 12,NA,NA,NA,29.8,8.99,7.94,--,I,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-28 15:05:02
岳店子下,岷江,2020-05-28 16,NA,NA,NA,11.7,9.18,8.04,--,I,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-28 19:05:03
岳店子下,岷江,2020-05-28 20,NA,NA,NA,8.3,7.04,7.75,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-28 23:05:03
岳店子下,岷江,2020-05-29 00,NA,NA,NA,9.7,5.92,7.60,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-29 03:05:03
岳店子下,岷江,2020-05-29 04,NA,NA,NA,9.2,5.31,7.54,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-29 07:05:02
岳店子下,岷江,2020-05-29 08,NA,NA,NA,14.9,6.35,7.61,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-29 11:05:03
岳店子下,岷江,2020-05-29 12,NA,NA,NA,21.7,8.95,7.97,--,I,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-29 15:05:02
岳店子下,岷江,2020-05-29 16,2.50,0.069,0.082,38.6,10.08,8.30,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-29 19:05:03
岳店子下,岷江,2020-05-29 20,2.40,0.067,0.075,9.4,7.82,7.97,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-29 23:05:03
岳店子下,岷江,2020-05-30 00,2.40,0.078,0.071,8.5,6.10,7.68,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-30 03:05:03
岳店子下,岷江,2020-05-30 04,2.30,0.086,0.074,12.9,5.54,7.59,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-30 07:05:02
岳店子下,岷江,2020-05-30 08,2.60,0.072,0.073,17.3,6.34,7.64,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-30 11:05:02
岳店子下,岷江,2020-05-30 12,2.50,0.034,0.073,31.1,11.37,8.42,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-30 15:05:02
岳店子下,岷江,2020-05-30 16,NA,NA,NA,13.2,10.15,8.33,--,I,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-30 19:05:02
岳店子下,岷江,2020-05-30 20,NA,NA,NA,14.0,7.73,7.98,--,I,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-30 23:05:02
岳店子下,岷江,2020-05-31 00,NA,NA,NA,15.7,6.39,7.73,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-31 03:05:02
岳店子下,岷江,2020-05-31 04,NA,NA,NA,13.4,5.81,7.63,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-31 07:05:02
岳店子下,岷江,2020-05-31 08,2.10,0.055,0.057,13.9,5.85,7.63,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-31 11:05:02
岳店子下,岷江,2020-05-31 12,2.30,0.030,0.067,17.9,11.03,8.39,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-31 15:05:03
岳店子下,岷江,2020-05-31 16,2.20,0.033,0.067,50.5,10.48,8.40,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-31 19:05:03
岳店子下,岷江,2020-05-31 20,2.10,0.044,0.065,20.2,7.63,7.99,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-05-31 23:05:02
岳店子下,岷江,2020-06-01 00,1.90,0.044,0.060,21.5,6.29,7.73,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-01 03:05:02
岳店子下,岷江,2020-06-01 04,2.20,0.072,0.081,33.0,5.67,7.62,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-01 07:05:02
岳店子下,岷江,2020-06-01 08,2.80,0.132,0.106,80.0,5.82,7.65,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-01 11:05:02
岳店子下,岷江,2020-06-01 12,2.70,0.189,0.129,97.3,6.11,7.67,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-01 15:05:02
岳店子下,岷江,2020-06-01 16,3.40,0.284,0.173,89.7,6.02,7.56,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-01 19:05:03
岳店子下,岷江,2020-06-01 20,2.80,0.231,0.139,106.9,6.67,7.64,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-01 23:05:02
岳店子下,岷江,2020-06-02 00,NA,NA,NA,125.8,7.22,7.74,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-02 03:05:02
岳店子下,岷江,2020-06-02 04,NA,NA,NA,122.7,7.29,7.75,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-02 07:05:03
岳店子下,岷江,2020-06-02 08,2.50,0.191,0.100,88.7,6.87,7.67,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-02 11:05:02
岳店子下,岷江,2020-06-02 12,2.20,0.170,0.100,59.1,6.80,7.66,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-02 15:05:03
岳店子下,岷江,2020-06-02 16,2.20,0.152,0.098,57.3,7.22,7.74,--,II,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-02 19:05:03
岳店子下,岷江,2020-06-02 20,2.70,0.185,0.112,56.8,6.46,7.64,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-02 23:05:02
岳店子下,岷江,2020-06-03 00,3.30,0.302,0.150,44.1,5.45,7.49,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-03 03:05:02
岳店子下,岷江,2020-06-03 04,3.10,0.284,0.150,38.5,5.34,7.49,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-03 07:05:03
岳店子下,岷江,2020-06-03 08,3.20,0.236,0.134,39.6,5.47,7.51,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-03 11:05:03
岳店子下,岷江,2020-06-03 12,3.40,0.254,0.148,33.9,5.88,7.52,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-03 15:05:02
岳店子下,岷江,2020-06-03 16,2.90,0.196,0.131,38.0,6.81,7.68,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-03 19:05:03
岳店子下,岷江,2020-06-03 20,2.90,0.235,0.134,43.2,5.69,7.55,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-03 23:05:02
岳店子下,岷江,2020-06-04 00,3.00,0.249,0.137,42.2,5.12,7.48,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-04 03:05:02
岳店子下,岷江,2020-06-04 04,2.80,0.237,0.133,59.6,5.42,7.52,--,III,总磷≤0.22mg/L，其他指标为Ⅲ类,-,2020-06-04 07:05:03
