站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
都江堰水文站,岷江,2020-05-21 12,2.40,0.096,NA,331.7,8.09,8.13,--,II,Ⅲ,-,2020-05-21 15:05:02
都江堰水文站,岷江,2020-05-21 16,2.70,0.098,NA,304.5,8.12,8.14,--,II,Ⅲ,-,2020-05-21 19:05:02
都江堰水文站,岷江,2020-05-21 20,2.40,0.097,NA,292.4,8.26,8.15,--,II,Ⅲ,-,2020-05-21 23:05:02
都江堰水文站,岷江,2020-05-22 00,2.10,0.096,NA,290.3,8.58,8.17,--,II,Ⅲ,-,2020-05-22 03:05:02
都江堰水文站,岷江,2020-05-22 04,2.20,0.097,NA,222.3,8.48,8.18,--,II,Ⅲ,-,2020-05-22 07:05:01
都江堰水文站,岷江,2020-05-22 08,2.20,0.105,NA,285.7,8.60,8.19,--,II,Ⅲ,-,2020-05-22 11:05:03
都江堰水文站,岷江,2020-05-22 12,2.40,0.098,NA,326.3,8.75,8.20,--,II,Ⅲ,-,2020-05-22 15:05:02
都江堰水文站,岷江,2020-05-22 16,2.30,0.096,NA,247.2,8.68,8.21,--,II,Ⅲ,-,2020-05-22 19:05:02
都江堰水文站,岷江,2020-05-22 20,2.30,0.101,NA,235.7,8.88,8.20,--,II,Ⅲ,-,2020-05-22 23:05:02
都江堰水文站,岷江,2020-05-23 00,1.90,0.100,NA,244.3,8.94,8.21,--,I,Ⅲ,-,2020-05-23 03:05:02
都江堰水文站,岷江,2020-05-23 04,2.10,0.097,0.042,192.5,8.99,8.21,--,II,Ⅲ,-,2020-05-23 07:05:01
都江堰水文站,岷江,2020-05-23 08,2.10,0.106,0.044,162.7,9.11,8.22,--,II,Ⅲ,-,2020-05-23 11:05:03
都江堰水文站,岷江,2020-05-23 12,2.20,0.099,0.040,170.6,8.85,8.22,--,II,Ⅲ,-,2020-05-23 15:05:02
都江堰水文站,岷江,2020-05-23 16,1.90,0.097,0.037,174.9,9.04,8.23,--,II,Ⅲ,-,2020-05-23 19:05:02
都江堰水文站,岷江,2020-05-23 20,1.70,0.097,NA,203.6,9.24,8.24,--,I,Ⅲ,-,2020-05-23 23:05:02
都江堰水文站,岷江,2020-05-24 00,2.20,0.098,0.032,172.6,9.17,8.24,--,II,Ⅲ,-,2020-05-24 03:05:02
都江堰水文站,岷江,2020-05-24 04,2.00,0.100,0.036,173.6,9.30,8.24,--,II,Ⅲ,-,2020-05-24 07:05:02
都江堰水文站,岷江,2020-05-24 08,1.90,0.106,0.031,139.4,9.39,8.23,--,II,Ⅲ,-,2020-05-24 11:05:02
都江堰水文站,岷江,2020-05-24 12,2.00,0.100,0.029,138.6,9.32,8.24,--,II,Ⅲ,-,2020-05-24 15:05:02
都江堰水文站,岷江,2020-05-24 16,1.80,0.100,0.027,130.0,9.13,8.25,--,II,Ⅲ,-,2020-05-24 19:05:02
都江堰水文站,岷江,2020-05-24 20,1.60,0.100,0.028,117.8,9.22,8.26,--,II,Ⅲ,-,2020-05-24 23:05:02
都江堰水文站,岷江,2020-05-25 00,1.80,0.100,0.027,118.2,9.31,8.26,--,II,Ⅲ,-,2020-05-25 03:05:02
都江堰水文站,岷江,2020-05-25 04,1.90,0.101,0.027,126.4,9.50,8.28,--,II,Ⅲ,-,2020-05-25 07:05:02
都江堰水文站,岷江,2020-05-25 08,1.80,0.105,0.027,117.5,9.59,8.28,--,II,Ⅲ,-,2020-05-25 11:05:02
都江堰水文站,岷江,2020-05-25 12,1.80,0.100,0.027,108.0,9.59,8.29,--,II,Ⅲ,-,2020-05-25 15:05:03
都江堰水文站,岷江,2020-05-25 16,1.70,0.101,0.027,111.8,9.56,8.29,--,II,Ⅲ,-,2020-05-25 19:05:03
都江堰水文站,岷江,2020-05-25 20,1.60,0.104,0.025,112.3,9.59,8.28,--,II,Ⅲ,-,2020-05-25 23:05:02
都江堰水文站,岷江,2020-05-26 00,1.60,0.102,0.025,102.8,9.61,8.28,--,II,Ⅲ,-,2020-05-26 03:05:02
都江堰水文站,岷江,2020-05-26 04,1.70,0.104,0.026,99.0,9.70,8.27,--,II,Ⅲ,-,2020-05-26 07:05:02
都江堰水文站,岷江,2020-05-26 08,1.70,0.107,0.025,105.7,9.79,8.29,--,II,Ⅲ,-,2020-05-26 11:05:02
都江堰水文站,岷江,2020-05-26 12,1.50,0.101,0.025,118.3,9.73,8.30,--,II,Ⅲ,-,2020-05-26 15:05:02
都江堰水文站,岷江,2020-05-26 16,1.70,0.102,0.024,97.0,9.81,8.31,--,II,Ⅲ,-,2020-05-26 19:05:03
都江堰水文站,岷江,2020-05-26 20,1.80,0.104,0.027,103.8,9.92,8.31,--,II,Ⅲ,-,2020-05-26 23:05:02
都江堰水文站,岷江,2020-05-27 00,1.70,0.101,0.021,119.8,9.96,8.32,--,II,Ⅲ,-,2020-05-27 03:05:03
都江堰水文站,岷江,2020-05-27 04,1.70,0.103,0.022,102.9,9.97,8.31,--,II,Ⅲ,-,2020-05-27 07:05:02
都江堰水文站,岷江,2020-05-27 08,1.70,0.107,0.025,100.4,10.07,8.34,--,II,Ⅲ,-,2020-05-27 11:05:02
都江堰水文站,岷江,2020-05-27 12,1.80,0.105,0.027,88.2,9.81,8.00,--,II,Ⅲ,-,2020-05-27 15:05:03
都江堰水文站,岷江,2020-05-27 16,1.30,0.100,0.025,81.6,9.94,8.02,--,II,Ⅲ,-,2020-05-27 19:05:03
都江堰水文站,岷江,2020-05-27 20,1.70,0.099,0.022,85.2,9.99,8.02,--,II,Ⅲ,-,2020-05-27 23:05:02
都江堰水文站,岷江,2020-05-28 00,1.60,0.101,0.025,85.6,9.96,8.04,--,II,Ⅲ,-,2020-05-28 03:05:03
都江堰水文站,岷江,2020-05-28 04,1.60,0.100,0.022,88.8,10.05,8.05,--,II,Ⅲ,-,2020-05-28 07:05:02
都江堰水文站,岷江,2020-05-28 08,1.70,0.105,0.024,82.1,10.02,8.05,--,II,Ⅲ,-,2020-05-28 11:05:02
都江堰水文站,岷江,2020-05-28 12,1.60,0.100,0.021,73.0,10.03,8.08,--,II,Ⅲ,-,2020-05-28 15:05:02
都江堰水文站,岷江,2020-05-28 16,1.50,0.099,0.021,85.3,10.08,8.10,--,II,Ⅲ,-,2020-05-28 19:05:03
都江堰水文站,岷江,2020-05-28 20,1.50,0.102,0.022,70.9,10.30,8.09,--,II,Ⅲ,-,2020-05-28 23:05:03
都江堰水文站,岷江,2020-05-29 00,1.70,0.101,0.019,72.3,10.17,8.09,--,I,Ⅲ,-,2020-05-29 03:05:03
都江堰水文站,岷江,2020-05-29 04,1.50,0.101,0.020,67.0,10.30,8.10,--,I,Ⅲ,-,2020-05-29 07:05:02
都江堰水文站,岷江,2020-05-29 08,1.50,0.104,0.020,70.7,10.40,8.10,--,I,Ⅲ,-,2020-05-29 11:05:03
都江堰水文站,岷江,2020-05-29 12,1.40,0.101,0.019,63.6,10.02,8.10,--,I,Ⅲ,-,2020-05-29 15:05:02
都江堰水文站,岷江,2020-05-29 16,1.30,0.097,0.019,62.9,10.20,8.13,--,I,Ⅲ,-,2020-05-29 19:05:02
都江堰水文站,岷江,2020-05-29 20,1.30,0.099,0.021,67.8,10.32,8.14,--,II,Ⅲ,-,2020-05-29 23:05:03
都江堰水文站,岷江,2020-05-30 00,1.50,0.099,0.021,72.6,10.22,8.14,--,II,Ⅲ,-,2020-05-30 03:05:03
都江堰水文站,岷江,2020-05-30 04,1.20,0.099,0.021,66.7,10.36,8.14,--,II,Ⅲ,-,2020-05-30 07:05:02
都江堰水文站,岷江,2020-05-30 08,1.30,0.106,0.021,58.2,10.26,8.13,--,II,Ⅲ,-,2020-05-30 11:05:02
都江堰水文站,岷江,2020-05-30 12,1.40,0.099,0.018,57.8,10.12,8.12,--,I,Ⅲ,-,2020-05-30 15:05:02
都江堰水文站,岷江,2020-05-30 16,1.40,0.101,0.017,58.3,10.14,8.12,--,I,Ⅲ,-,2020-05-30 19:05:02
都江堰水文站,岷江,2020-05-30 20,1.50,0.100,0.017,72.0,10.21,8.13,--,I,Ⅲ,-,2020-05-30 23:05:02
