站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
二江寺,江安河,2020-05-21 12,4.80,0.884,NA,250.6,6.37,7.31,--,III,Ⅴ,-,2020-05-21 15:05:02
二江寺,江安河,2020-05-21 16,4.40,1.011,0.150,160.4,6.14,7.30,--,IV,Ⅴ,氨氮,2020-05-21 19:05:02
二江寺,江安河,2020-05-21 20,4.40,0.868,0.143,155.8,5.84,7.35,--,III,Ⅴ,-,2020-05-21 23:05:02
二江寺,江安河,2020-05-22 00,4.60,0.943,0.176,160.4,6.13,7.28,--,III,Ⅴ,-,2020-05-22 03:05:02
二江寺,江安河,2020-05-22 04,4.70,0.715,NA,265.1,6.84,7.33,--,III,Ⅴ,-,2020-05-22 07:05:01
二江寺,江安河,2020-05-22 08,4.30,0.650,0.185,180.8,6.72,7.32,--,III,Ⅴ,-,2020-05-22 11:05:03
二江寺,江安河,2020-05-22 12,4.00,0.708,0.173,130.6,6.67,7.33,--,III,Ⅴ,-,2020-05-22 15:05:02
二江寺,江安河,2020-05-22 16,3.50,0.573,0.159,119.0,6.65,7.34,--,III,Ⅴ,-,2020-05-22 19:05:02
二江寺,江安河,2020-05-22 20,3.70,0.503,0.156,153.7,6.54,7.35,--,III,Ⅴ,-,2020-05-22 23:05:02
二江寺,江安河,2020-05-23 00,5.30,0.752,NA,251.7,5.54,7.27,--,III,Ⅴ,-,2020-05-23 03:05:02
二江寺,江安河,2020-05-23 04,4.50,0.458,NA,255.2,6.95,7.34,--,III,Ⅴ,-,2020-05-23 07:05:01
二江寺,江安河,2020-05-23 08,3.60,0.461,0.140,177.5,7.03,7.35,--,III,Ⅴ,-,2020-05-23 11:05:03
二江寺,江安河,2020-05-23 12,3.10,0.393,0.138,109.1,7.25,7.37,--,III,Ⅴ,-,2020-05-23 15:05:02
二江寺,江安河,2020-05-23 16,3.20,0.391,0.135,146.1,7.09,7.36,--,III,Ⅴ,-,2020-05-23 19:05:02
